# ID        V        eV      rV_1     VR      eVR     VI      eVI     col2        col3       Plx       pmRA      pmDE     
  5215895   15.703   0.027   -0.649   0.87    0.037   2.032   0.038   80.495653   8.422844   0.3483    -1.987    -5.338   
  5214975   16.649   0.065   -0.65    1.032   0.081   2.098   0.083   80.457301   8.414597   0.2268    2.086     -0.637   
  5215669   14.25    0.01    -0.602   0.907   0.013   2.041   0.014   80.486224   8.416971   1.6363    4.504     7.99     
  5215449   15.971   0.034   -0.475   0.778   0.045   1.841   0.052   80.477078   8.419404   0.938     -3.045    -2.879   
  5215438   16.525   0.062   -0.168   0.745   0.084   1.632   0.089   80.476613   8.432835   0.0937    0.79      -1.244   
  5220739   16.156   0.046   -0.71    1.2     0.057   2.684   0.051   80.530822   7.71145    0.4282    4.53      -2.51    
  5220477   16.508   0.056   -0.506   0.723   0.073   1.777   0.079   80.519881   8.432733   0.1291    -0.518    -0.958   
  5220146   13.608   0.009   -0.299   0.828   0.012   1.856   0.012   80.506085   8.395522   1.1733    1.647     -4.476   
  5221152   16.48    0.057   -0.038   0.806   0.075   1.765   0.089   80.54802    8.419821   -0.3384   -0.404    -1.017   
  5220990   13.956   0.008   -0.664   0.925   0.011   2.084   0.011   80.54129    8.432918   1.716     8.269     -20.213  
  5220580   16.016   0.048   0.037    0.754   0.059   1.53    0.07    80.524207   8.406041   0.3765    1.478     -1.483   
  5220727   15.616   0.027   -0.817   0.911   0.035   2.074   0.035   80.530292   8.395185   1.2318    1.553     -8.814   
  5221383   16.395   0.046   -0.646   0.929   0.06    2.104   0.064   80.557646   8.419606   0.6665    -0.165    -3.17    
  5220221   8.214    0.004   0.237    0.358   0.004   1.462   0.004   80.50923    8.392917   2.8609    -2.62     -14.788  
  5220459   16.253   0.046   -0.589   0.875   0.06    2.002   0.064   80.51913    8.387158   0.0936    4.325     1.433    
  5221238   15.6     0.026   -0.725   0.934   0.033   2.103   0.035   80.551608   8.387301   0.6541    -3.606    0.625    
  5220182   15.733   0.031   -0.044   0.742   0.042   1.765   0.044   80.507607   8.431133   0.0021    1.701     -1.83    
  5221033   11.908   0.003   -1.747   1.237   0.004   2.62    0.004   80.543058   8.378554   0.2275    0.905     0.384    
  5220334   16.831   0.082   -0.254   0.573   0.119   1.661   0.13    80.513939   8.403594   -0.9022   2.988     -4.872   
  5220257   14.479   0.013   -0.482   0.856   0.017   1.921   0.018   80.510721   8.410302   1.0399    1.759     -2.836   
  5220653   17.437   0.152   -1.19    1.056   0.178   2.456   0.17    80.527249   8.410861   0.1459    -1.192    -0.335   
  5222310   17.837   0.213   -1.217   1.004   0.254   2.177   0.269   80.596273   8.408708   ""        ""        ""       
  5222978   15.204   0.023   -0.313   0.82    0.03    1.838   0.032   80.624118   8.391512   0.391     2.475     -5.318   
  5222624   17.312   0.113   -0.832   1.018   0.14    2.177   0.155   80.609366   8.413927   -0.0479   1.012     -1.761   
  5222482   16.501   0.064   -0.796   0.887   0.081   1.883   0.086   80.603445   8.203439   0.3035    0.777     -3.694   
  5221933   14.775   0.014   -1.412   1.143   0.018   2.415   0.017   80.580572   8.430694   0.3372    3.282     -2.581   
  5221745   17.013   0.096   -0.921   1.025   0.113   2.17    0.119   80.572729   8.405927   -0.4779   -0.767    -5.222   
  5222634   15.646   0.026   0.385    0.751   0.035   1.692   0.041   80.609783   7.809522   0.0978    1.784     -0.608   
  5222419   13.215   0.006   -0.551   0.904   0.008   2.002   0.008   80.600824   8.376891   2.2708    -5.765    6.522    
  5222341   15.06    0.017   0.154    0.693   0.025   1.648   0.029   80.597579   8.382258   0.2549    -0.505    0.314    
  5222078   11.188   0.002   1.562    0.65    0.003   1.493   0.004   80.58659    7.731858   5.8089    19.542    4.568    
  5222024   17.189   0.11    -0.646   0.986   0.133   2.227   0.134   80.58437    8.399592   0.4044    1.468     -1.613   
  5221749   16.444   0.059   -0.71    0.883   0.078   2.012   0.077   80.57291    8.381821   0.6309    -1.733    -9.254   
  5221632   15.028   0.019   -0.35    0.815   0.025   1.869   0.025   80.56802    8.408569   0.511     2.142     -2.912   
  5221628   17.036   0.097   -0.731   0.91    0.118   2.186   0.116   80.567835   8.391461   -0.0559   1.629     -0.565   
  5221572   17.039   0.088   -1.989   1.334   0.102   3.103   0.093   80.565522   8.394416   3.5499    2.201     -6.892   
  5222629   16.143   0.041   -0.549   1.004   0.053   2.194   0.051   80.609555   7.994366   0.2432    3.924     -3.296   
  5222983   15.888   0.033   -0.467   0.73    0.047   1.861   0.049   80.624332   8.40359    0.4674    1.216     0.269    
  5222717   16.14    0.044   -0.466   0.778   0.059   1.93    0.058   80.613241   8.420847   0.1077    1.898     0.318    
